,0
0,https://www.spiegel.de/kultur/gerhard-richter-erklaert-kirchenfenster-zu-seinem-finalen-grossen-werk-a-12b14273-d673-44ff-b2e9-0eef135dee16
1,https://www.spiegel.de/kultur/literatur/buch-tipps-neue-kinder-und-jugendliteratur-fuer-die-sommerferien-a-cc214d54-a8f2-4229-a190-ccce99f4cdb8
2,https://www.spiegel.de/kultur/literatur/der-fall-alice-im-wunderland-von-guillermo-martinez-grauenhafte-leerstelle-a-4778941a-7dcf-439c-bffb-cb85262ba863
3,https://www.spiegel.de/kultur/konrad-adenauer-und-die-kunst-der-politischen-weihnachtsansprache-schoener-schreiben-die-deutschkolumne-a-ae3babcd-6284-44c1-a0d0-574e9db0819a
4,https://www.spiegel.de/kultur/kino/hbo-max-erteilt-deutschland-fuer-2021-eine-absage-a-f0987181-cfe1-4228-a330-ec8572f94d61
5,https://www.spiegel.de/kultur/tv/javicia-leslie-ist-die-neue-batwoman-a-b76a4cd5-1ac2-49e8-8888-1ad58f7ca1c0
6,https://www.spiegel.de/kultur/tv/polizeiruf-110-aus-halle-mit-peter-kurth-starker-neustart-a-45602109-c5bf-476e-8de0-7c584001f15b
7,https://www.spiegel.de/kultur/valentinstag-das-gegenteil-von-liebe-kolumne-a-4e13665d-5148-49cd-9814-8d5865c487c3
8,https://www.spiegel.de/kultur/bbc-entfernt-episode-von-fawlty-towers-wegen-rassistischer-bemerkungen-a-72bc7593-e45b-4830-bb99-4714639e1408
9,https://www.spiegel.de/kultur/tv/the-me-you-can-t-see-doku-von-prinz-harry-und-oprah-winfrey-a-7e7170bf-9844-4ba5-99c4-e0d91fdded07
10,https://www.spiegel.de/kultur/musik/dave-greenfield-keyboarder-der-stranglers-an-covid-19-gestorben-a-29628a30-3ca6-4858-8c5c-cc5e4310f9fb
11,https://www.spiegel.de/kultur/jeffrey-toobin-new-yorker-feuert-starautor-nach-zoom-zwischenfall-a-d4624148-5454-4d4f-bb1f-37966a919d2b
12,https://www.spiegel.de/kultur/inside-occupy-autor-anthropologe-david-graeber-ist-tot-a-951a6bc7-9068-45bc-a80b-eb479d6cc631
13,https://www.spiegel.de/kultur/masken-raffke-compliance-problem-in-diesen-tagen-jagt-eine-phrase-die-naechste-a-29e78143-fc56-4df9-8a0f-3c1bcf1bbd2a
14,https://www.spiegel.de/kultur/tv/the-mandalorian-disney-feuert-gina-carano-aus-star-wars-spinoff-serie-a-22671fc2-8ce9-4d13-b7c2-978b72f891f7
15,https://www.spiegel.de/kultur/tv/apple-serie-moskito-kueste-kapitalismuskritik-vom-kapitalismus-hohepriester-a-c7b62aea-ff08-4d5f-988d-06eb2647555f
16,https://www.spiegel.de/kultur/kino/berlinale-daniel-bruehl-maria-schrader-und-dominik-graf-im-wettbewerb-a-41b79ba9-b47c-4e78-bfe9-216d92a5029d
17,https://www.spiegel.de/kultur/tv/tatort-die-dritte-haut-aus-berlin-entmietung-auf-die-brutale-tour-a-6a091162-6e95-4576-a596-d26252907d83
18,https://www.spiegel.de/kultur/tv/serena-williams-dreht-doku-fuer-amazon-prime-a-35b17934-8fbd-43b2-b1d1-cc1673b22102
19,https://www.spiegel.de/kultur/franz-joseph-van-der-grinten-ueber-joseph-beuys-dann-pinkelte-er-aus-dem-fenster-a-00000000-0002-0001-0000-000173548976
20,https://www.spiegel.de/kultur/literatur/friederike-mayroecker-ist-tot-a-20ccbafb-09c3-4ac5-ac97-ed29042b4e7b
21,https://www.spiegel.de/kultur/literatur/john-le-carre-britischer-schriftsteller-ist-tot-a-9c1e92bc-d5be-4ee0-ab42-4eb0bb286b04
22,https://www.spiegel.de/kultur/kino/kinoerlebnisse-genau-richtig-im-falschen-film-a-4066a60c-4428-4f47-a435-afc79bd2677d
